Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Flemish Carrots,Season with lemon juice and serve,"In a large bowl, cream butter and sugar with electric mixer",Sift together the dry ingredients and make a hole in the centre,"Mix in water, brown sugar, salt and mace",Stir unto carrots,Melt the butter in a nonstick pan over medium heat,Pour olive oil onto one hand and coat all of the chicken,"Season steak pockets with cumin and black pepper, barbecue or broil for 5 to 8 minutes per side, until desired doneness is reached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato Treat - 2,Cook pasta according to package instructions,Cover with whipped cream,"Toss thoroughly with hot drained pasta shells, adding more olive oil if required","Add parmesan cheese, garlic, black pepper and salt","Add carrots, cook, covered, stirring occasionally, about 10 minutes, or until carrots are soft, cool slightly, stir in basil","Five minutes is not enough time for the shrimp to absorb the flavor of the oil, garlic and chilis through the shell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jachtschotel (Meat and potato casserole),Remove bay leaf,Place the cooked asparagus in a buttered baking dish,Place 1/3 of potato puree in bottom of casserole,Coat with corn flake crumbs (or bread crumbs) and a few pats of butter and broil for 10- 15 minutes until brown,"In small saucepan, combine sugar, milk and margarine",Sprinkle a surface lightly with flour,"Meanwhile, cook onion and garlic in hot olive oil in a large frypan over medium heat till onion is tender",Finally smooth the remaining puree on top,Simmer gently until the meat is tender and well seasoned- about 20 minutes (you may need to add broth to keep it moist),Score meat in a cross-hatch pattern with deep cuts,Pat into greased 8\,Add the left over beef and broth with seasonings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef and Tomato Stir-Fry,Do not overcook- lobster is done when it is opaque and firm to the touch,Add Beef and toss to coat,Add beef and stir fry for 2 minutes,"catsup, worcestershire, mustard, garlic powder, salt/pepper with a fork",mix until smooth,",","In wok or nonstick frypan, heat oil over high heat",Mix well,"stir fry until tomatoes are heated through, 1 to 2 minutes",Cut beef across the grain into thin strips,"Mix eggs, buttermilk oil, applesauce, and honey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Spring Rolls,"Frosting: Cream together cream cheese, butter, powdered sugar and vanilla","meanwhile, in a second skillet, fry the egg","Fold in the side corners, then roll up to make a neat tube","Cover, reduce heat, and simmer 2 hours",",","Add gravy, mushrooms and water to skillet, heat for 3-5 minutes","Drain off any excess fat (but don't wash the pan) and saute the shredded cabbage and carrots with a couple tablespoons of water, until just limp and the water is gone",Mix with the meat,Repeat 19 more times,Lay the finished spring rolls on a lightly oiled cookie tray,Lift from the pan and put in a large bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato Salsa - Uncle Bill's Version,"Prepare 4- pint size canning jars by washing in soap and water, then rinsing in hot water","Refrigerate until completely chilled, at least 4 hours",Reduce heat and simmer 30 minutes,Place bread in greased 2-qt,"Cool on pan for 3 minutes, then transfer to a wire rack to cool completely",Drop in tomatoes and scald for 2 minutes,"Put meat in crock pot, then onion and celery",Preheat the oven to 300 degrees F,Place sliced apples in a lightly greased 13x9x2\,Remove skins and discard,Preheat oven to 300 degrees F,Bring mixture to a boil,In a large pot bring water to a rolling boil,Remove stem core and discard,Fill jars with salsa mixture to within 1/4 inch of top of jars (for head space,"Then add enough peanuts and pretzels so that it is tough to stir, mixing well so that all are coated well",Be careful not to overcook this cake and it will be deliciously moist and fresh days after it is baked,Prepare a canner and bring water to boil,Place washed jars upside down on oven rack and heat for 15 minutes,Wipe jar rims very clean to remove any stickiness,"In medium bowl,beat pumpkin,eggs,sugar,spices,and salt until smooth",In med,,,,,,,,,,,,,,,,,,,,,,,
Currant Catsup,"There are several ways to do this, but the easiest is to put a drop on a frozen surface (like an ice cube) and see if it will wrinkle when pushed with your finger",Preheat oven to broil,"Alternately, keep dipping you spoon in the mixture as it boils","The original recipe did not call for this, but I pop them back in the boiling water bath for 5 minutes just for safety sake","Add almonds, Sherry, mushrooms",discard seeds and stems,Fry chicken in oil,"Once it starts running off in two streams, keep careful watch: when it runs off in multiple streams, or in a sheet, it is done","Serve Country Fried Steaks (Chicken Fried Steak, as we call it) with plenty of gravy on top, and mashed potatoes on the side (double gravy recipe if you use a LOT of gravy on your potatoes, etc)",Mix water with remaining ingredients,Put the juice in a pot and add the spices mixed to a paste with a little of the currant juice,Cook slowly uncovered for 10 minutes then add coconut milk and chillies,"Leave on the stems, but remove any leaves",Bake at 350°F for 1 hour,You should get about 5 cups of juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Butternut Squash Stuffed With Apples and Sausage,"In a soup pot, heat olive oil over medium high heat","Bake uncovered until piping hot and brown and crusty on top, 20-25 minutes",Let cool for several minutes before serving,"Spread on the cut surface of the French bread, which has been sliced in half horizontally","Scoop out the squash, leaving 3/8 inch thick shells",Half squash lengthwise and remove seeds,Mix well,bake for 40 to 45 minutes until brown and the custard has set,Add apple,When golden brown on both sides take out,Preheat oven to 350°F,Pile the stuffing into the squash halves,"Bake until almost tender, 30-40 minutes",Arrange squash cut side up on the baking dish,Preheat oven to 325°,ICING------------,"Meanwhile, crumble the sausage into a skillet and cook over medium heat until no longer pink","Place chicken thighs in small pan, add water and sliced onion, cover, simmer until chicken is cooked, approx 20 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,
Crisp Pickled Silver Skin Onions,Once chicken is completely covered arrange chicken in sauce so it is not over lapping and bake in pre heated oven@ 350 degrees for 1 hour un covered,Pour this liquid over the onions again,Add the steaks,Wash onions thoroughly,Cut into squares,Cover onions again with boiling water and let stand for 24 hours,"Stir egg mixture into flour mixture, mixing just until ingredients are moistened, and still slightly lumpy","In a large pot, add onions, cover with boiling water and let cool","On the 7th day, which is the last day, drain and reserve the liquid",Cover and bake at 350 degrees for about 30 minutes or until warmed through,"Drain off liquid, save and reheat","In a separate pot, bring reserved salted water to a boil","At the beginning of the 4th day, drain and discard water",boil for 2 minutes,Serve with Plain boiled Rice,Heat oil in a medium size pot over medium heat,Garnish with apple slices,"In a cooking pot, add sugar, vinegar and spices that are wrapped in a cheese cloth and bring to boil",Garnish with scallion,Preheat oven to 300F and lightly grease a 13 x 9\,Rinse onions and return to pot,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Cornbread Casserole,Stir in milk all at once,"Brown together the ground beef, onion and jalapeno pepper",You can rinse pasta with cold water to cool quickly,Top with the meat mixture then sprinkle on the cheese to cover,In a bowl mix together the cornbread ingredients,Pour 1/2 of the cornbread mixture into prepared dish,"Pour the marinade over the fish, turning the fillets to coat both sides",Stir fry 1 minute longer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Pork Chops,"In a large skillet sauté the zucchini, onions and garlic in the olive oil for 3 minutes","fry chops, in 2 batches and turning once, until golden brown, and crispy, about 6 minutes","Gradually add sugar, beat again until stiff","For cake: In a large bowol, mix all ingredients","On plate, mix together cheese, bread crumbs, Cajun seasoning and lemon rind","In shallow bowl, lightly beat eggs","One at a time, place chops between waxed paper and pound with a mallet to about 1/4 inch thick, (or buy thin, fast fry chops)","Dip into egg, then into crumb mixture to coat both sides",Bring to a boil and simmer for 15 minutes,Toss hot pasta with sauce and serve immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watermelon Rind Pickles,stir to blend,"Stir in turkey, bok choy and pea pods",(simmer about 30 Min,Pour the white wine into the pan,"In another bowl, stir together flours, wheat germ, sugar, baking powder and salt",Weigh,Drain,Add rind a few at a time and cook until rind is clear,Pare watermelon rind and remove all pink portions,Soak beans in enough water to cover overnight,"Cantaloupe rind, pumpkin or winter squash rind may be cut into pieces and pickled in the same way",),Spices may be tied in cheesecloth bag if desired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry Sauce,Add butter and stir until melted,Season,"Stir constantly until thickened, at least 2 or 3 minutes",Add to saucepan,simmer for 5-6 mins then add chicken and capsicum and cook until fat floats on top and gravy is thick and chicken is cooked,"Stir often until berries soften and release some juice, about 2 minutes",Bake at 350f degrees for 10 to 12 minutes or until thoroughly heated,Check for doneness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dried Onion Slices,"After an hour, pre-heat the oven to 60 C or 140 degrees F",Add salt and water,"Start with pizza or spaghetti sauce, then half the shredded mozzarella","add heavy cream and sour cream, whisking until smooth","Allow a couple hours, but keep an eye on them",cook 1 minute,Stir in 2 cups of mixed flour,Spread out on paper towel and leave to dry,"Peel and slice the onion into rings, as thinly as possible","Once boiling, drop in the onion rings and let the water return to a boil",Take a big pot and bring 500ml of water and the vinegar to a boil,"Grill, covered with grill lid, over medium-high heat 8 to 10 minutes on each side or until desired degree of doneness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crock Pot Turkey Breast,Combine all ingredients,"Peel the onion, cut it into quarters and place around the edges of the pot",Stir in vanilla and nuts,"Add the buttermilk, eggs and vanilla",Let bird rest 10 minutes before carving,Discard vegetables,Peel the garlic cloves and place around the sides of the cooker (maybe rub some minced under the skin),Reserve 3 cups of the strained chicken stock,Cook for 9 hours if frozen or 7 ½ hours if not frozen on low or to 170 degree internal temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatmeal Dinner Rolls,"Stir together yeast, ½ cup warm water, and 1 T","Cook chicken in hot oil till white, about 10 minutes then drain",let cool to 110 degrees,About 15-20 minutes,"Cover and let rise in warm place (85 degrees) free from drafts, 1 hour or until double in bulk",Reserve 1/4 cup of the marinade,Makes 40 bars,let stand 5 minutes,"Beat oat mixture, yeast mixture, flour, salt, and brown sugar at medium speed with an electric mixer until smooth","Add all other ingredients, cover and simmer at least one hour until chicken is tender",Serve immediately,shape each portion into 8 balls,Simmer until the shrimp is cooked,Add the flour 1 tablespoons,shake to coat,Punch down dough and divide in half,"Place in a well-greased bowl, turning to grease top",Serve with rice,(Each pan will hold 8 rolls and you use 2 lightly greased round cake pans),"Boil, stirring constantly, 1 minute",,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Noodle Soup,simmer 20 minutes or until chicken and noodles are cooked,Reduce heat,Serve topped with salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan Mash,Mash potatoes in a large bowl with remaining ingredients until smooth,Again layer and filling until you have all four layers on here,drain well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Tomato Salsa,"Remove the stalks, slit them and scrape out the seeds with a sharp knife",Place in a bowl,"Using a large, sharp knife, chop the shallots and garlic roughly, place them with the tomatoes in a bowl and mix","Place parsnips, carrots, onions, oil and thyme in prepared baking dish, toss until veggies are well coated with oil","Be careful not to boil mixture too much, the peanut butter will start to burn",Beat egg whites until stiff,"Leave the tomatoes to cool, then peel off the skins and chop the flesh finely","Add oil, water, and 1/2 the strawberries",drain,"Mix well, taste and add more salt if needed",Roast in the oven for 1 1/4 hours or until the tomatoes are beginning to dry,Serve over rice in large shallow bowls,Peel the shallots and garlic and add them to the roasting pan,Batter will be lumpy,Sprinkle with sea salt,Beat with an electric mixer set at medium speed for 2 minutes,Preheat oven to 325f degrees,"However, they won't actually get crisp until they cool",press onto bottom of 9-inch springform pan,It will keep up to a week in the fridge,Place on lightly greased baking sheet,,,,,,,,,,,,,,,,,,,,,,,,
Horseradish Baked Chicken,"Melt half the butter in a saucepan and cook the white flesh very gently for 10 minutes, until tender",Place the chicken in a greased 9X13 baking dish,Remove from oven and allow to cool for 5 to 10 minutes before serving,(about 10- 15 mins) When pepper skins are blackened place in a plastic bowl and cover for 15 minutes,Bake at 350 degrees for 70 minutes or until cake tests done,Sprinkle with chopped fresh parsley,Preheat oven to 350 degrees,"To serve, place the chicken on a platter and pour the sauce over the top",Mix well,"Bake, covered for about 30 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battered and Baked Sage Leaves,Beat the egg and egg whites or the egg subsitute with a fork and set to one side,Dissolve yeast in warm water,Put the flour or bread crumbs in a bowl and add some salt and a generous grinding of black pepper,"Sprinkle a bit more salt and pepper on top of the leaves and then bake for 10-12 minutes, until nicely crisp and browned","In a large skillet, heat oil  over medium heat",Lay on the baking sheet and finish the rest of the leaves,"Cream butter and sugar, add eggs and beat well",Combine all dry ingredients in a plastic bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creamy Cajun Chicken Pasta,Mix remaining ingredients together except egg whites,prick the tops with a fork,Pour over hot linguine and toss with Parmesan cheese,"In a large skillet over medium heat, sauté chicken in butter or margarine until chicken is tender, about 5 to 7 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canned Basic Salsa,Process in a water bath for 20 minutes,Stir and cook for approximated 4 minutes or until the liver is cooked and everything is heated through,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato &amp; Cheese Lasagna,Mix dry ingredients and add to butter mixture,Top with remaining cheese and paprika,"Remove the foil and bake another 20 minutes or so, until the top is crusty and golden","In a skillet, combine the broth, rosemary, garlic, bay leaf, salt, and pepper",Whip the cream on high until stiff,Cover with another sheet of pasta and sauce,Sauté mushrooms in the remaining 1/4 cup butter,"Cook on low heat for 2½-3 hours, or until the meat is almost falling off the bone","Repeat with a layer of pasta, sauce, and mozzarella and parmesan, then another layer of pasta, topped with remaining ricotta","Cover with a sheet of pasta, and spread it with sauce",*Note: Loaves freeze well,"For sauce, melt butter on medium heat",Put half of the ricotta and herb mixture on this layer,"Layer the lasagne: In a dish that is 10x6x2, begin with a light layer of sauce on the bottom","To make the sauce: Take the onion and garlic, and sauté in olive oil in a large pot for a few minutes","Remove the bone, puree the sauce (carefully, since this will be hot), and taste for seasoning","Note: You can use store-bought sauce as a time-saver, but if you have the time its worth the wait",Combine powdered sugar and juice,The cheeses: Keep parmesan and mozzarella in separate piles,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato Topped Fish and Potato Bake,Reduce heat to medium,Arrange the potato pieces on a heated serving platter,Arrange fish over potatoes,Add the frozen potatoes,"Heat over high heat until sizzling, about 2 minutes",top with tomato mixture,cover and cook for 12 minutes,"Whisk dry ingredients, set aside","Bake for 45 to 50 minutes, or until a toothpick poked in the middle comes out clean",sprinkle with 1 tablespoon of the remaining oil,Sprinkle chocolate chips on top of batter,"Layer potatoes, onion and half each of the salt and pepper in pan",Pour melted butter in a casserole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Meatballs,Place in 9x13\,Form into meatballs,",",Spread potatoes over bottom and up sides of 8 x 12 inch baking dish to make shell,serve with crackers,Bake at 375°F for 35 minutes,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloemkoolsoep (Dutch Cauliflower Soup),You can also add 1/2 cup cheese when you are combining the flour and stock,Place on cookie sheet and bake at 400 for 10 to 17 minutes or until golden brown,grate white chocolate to coat the fruit,Discard remainder of the stalk,Slowly add some of the cauliflower stock to the flour mixture,"Place milk in bowl or blender, add eggs and spices, then beat together",Stir in chips and nuts,Clean cauliflower and separate into florettes,"When sauce is finished, add the cutlets and heat for a few minutes","Add nutmeg and cream to the soup, stir, and serve hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kip Met Kerriesaus (Baked Chicken With Curry Sauce),"Turn out, slice and fry until brown in a bit of butter or oil",Simmer for approximately ten minutes or until thickened,Add curry powder and flour and stir for a few minutes to absorb the butter and brown a bit,"Also, Panko crumbs would be excellent or cornflake crumbs","Slowly add stock, stirring constantly to avoid lumps",Slice and saute onion in butter until lightly browned,Serve in cups immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacon Spaghetti,Cook on low 8 hours or on high 4 hours,Serve with dinner rolls/brown and serve rolls,Flip the slices,Cook spagetti according to package directions,Add tomato sauce,Marinate 1-2 hours in the refrigerator,Stir until chocolate is melted and smooth,"Whisk in the milk, and continue cooking until mixture is bubbly and thick","Ladle into individual soup bowls and top with cheese, tomato and parsley",Drain grease,*Fill 2 of the 4 cans with water and stir,Stir well and let simmer for about 30 to 40 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Deviled Eggs,"Add the mayonnaise and rest of the ingredients, mix well",chill and serve,Mash the yolks from eggs with a fork,beat till smooth,A few thyme sprigs is a nice touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheater's Bean Soup,Saute the seasonings in the oil in a large soup pot,"Add chicken  broth, spaghetti sauce and seasonings","Taste the soup, and thin it with water or the bean liquid, according to whether you think the soup needs more salt or not",Preheat oven to 325 degrees,Stir well,"Add the beans, the vegetable cocktail and the sugar",) Serve with chopped coriander and lime wedges,"Combine salmon, breadcrumbs, green onion, green pepper, egg whites, and 3 tablespoons of the sauce until well combined",Prepare crepe mixture and Mornay Sauce Preheat oven to 375 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Meat Croquettes,Add meat,Cook quickly in preheated hot oil until the outside is brown and the croquette is heated/cooked throughout,"(I add baby carrots, quartered potatoes, onions& 1/2 bag frozen peas)",pour over meat,Drain pasta,Add crumbs (or bread or mashed potatoes) to onion,Redfish and pompano are ideal for this method of cooking,Remove from oven and re-indent centre,Serve hot with french fries and salad,Saute onion in butter (or broth) until tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Bean Chowder,"Serve immediately or add 1/2 c water and refrigerate overnight, and reheat",Top with cheese and bake uncovered for 5-10 minutes until cheese is melted,Pour boiling brine over the peppers within 1/2\,Place the bread back under the broiler until the tops are nice and bubbly and beginning to brown,"Add drained black beans, chicken bouillon powder, water, and salsa and simmer until beans are tender","Saute red onion, garlic, celery, and red pepper in olive oil until tender",Roll out for single crust,"Add ham, cumin, coriander, thyme, and oregano to vegetables and cook for 1 minute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steak Marinade, Quick and Easy","Heat 1 tbsp oil in a skillet and add the garlic, saute until the garlic is golden but not too brown",Either way they're great!,I do both,"Slice your bread, if you have not done so already",Don't be afraid of the garlic it makes the steak taste wonderful!,Garlic will be stronger the longer you marinade,"Stir in mushrooms and remaining ingredients, cover and cook over low heat 10 minutes or until mushrooms are tender","Add sausage and continue cooking, stirring occasionally, until sausage is heated through (6 to 8 minutes)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portabella Mushroom Soup,Return the pureed soup to the pan and add the cream,Pour the mixture into a bowl and chill until needed,Add egg and vanilla,"Place on greased oven tray, allowing room for spreading",Mix in half of the soda cracker crumbs,"Saute the leeks and onions in butter in a large pot over medium heat, stirring constantly, until tender",then puree the soup in batches in a blender or food processor,"Lower heat, add the mushrooms, and cook about 10 minutes longer, covered, stirring occasionally",Add cheese and toppings,Cool the soup slightly,"Simmer, partially covered, for about 10 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pumpkin, Potato, and Leek Soup",Mix melted butter with wafer crums and line a 9\,Cook uncovered over medium heat until liquid is  absorbed,"Add the chunks of potato, pumpkin, the stock, and the spice bag",Do not overmix,Place eggs or egg substitute in shallow bowl,PREPARE grill temperature to medium-hot,"In small bowl, combine vinegar, honey and chili powder and mix well",set aside,bring up the ends to form a sack and tie securely with kitchen twine,"Cook over low heat until heated through, but do not boil","Cut an 8-inch square of cheesecloth, and place the cloves, peppercors, bay leaf, and parsley in the center","When Sugar is completely dissolved, stir in carrot",Adjust seasonings and serve garnished with fresh parsley,Cool soup 5-7 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mini Burgers,Put tops on rolls,Stir flour and milk into soup,Heat the oil in a large saucepan and saute the onion and garlic until the onion is tender,Sauté onion in butter for 1 minute,"Barbecue Sauce: In a bowl, combine all the ingredients and whisk well to dissolve the sugar",Bake at 350°F for 20 minutes,Place on baking sheet,"Place the cookies 2 inches apart onto an ungreased cookie sheet, and flatten slightly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday Coffee Cake,Grease/flour two 8-inch round pans or one 13x9 pan,"Bake at 375 for 25-30 minutes, or until toothpick inserted in center of cake comes out clean","Using a fork or pastry blender, work shortening into the dry ingredients until the mixture is in fine crumbs",Stir together sugar and peaches,Cook 15 minutes,Scoop out 1/2 cup of the crumbs and set aside,Add to peach mixture,The batter should not be smooth,Mix well,Toss together,Spread the batter in prepared pan (s),"Pour cream mixture in a thin stream  into eggs, stirring constantly",Bring to a boil,Combine ½C,wide,"Reduce heat to low, cover and cook 10 more minutes","To the rest of the crumbs, add the baking powder, baking soda, cinnamon, and nutmeg",Preheat oven to 350*,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scattered Sushi with Five Colors,To Assemble: Place the rice in a large serving dish or on a platter,"Add curry, stir and cook for 1-2 minutes",Mushrooms: Combine all the ingredients in a skillet and simmer over low heat 15 minutes,"(It is important that the cold vinegar be poured over hot rice, or the vinegar will not be properly absorbed",Stir in remaining ingredients,Add broth and orange juice,"if you are short on time, however, simply stir the ingredients to dissolve the salt and sugar","In your blender or food processor combine a small amount of the yogurt, all the garlic and ginger, puree until smooth",Rice: Place the rice and water in a pot and let soak at least 1 hour,Drain,"With a pair of scissors, cut each sheet in half, then stack the sheets together","Arrange the mushrooms, carrots, peas and tofu on top of the rice in separate piles",Use a knife to help release the edges from the mold,place bread cubes in a 1-1/2 qt casserole dish,"Bake at 400 degrees for 40 minutes, stirring after 25 minutes",Filling------------,Mix first four ingredients in a bowl,"Bring to a boil, then remove from the heat",) Transfer the hot rice from the pot to a large bowl,YUM,Tofu: Heat all the ingredients in a skillet over medium heat until the tofu absorbs the flavors and turns yellow,"Remove the bay leaf, add cabbage, sugar, onion, salt and pepper",add chicken,Let cool before using,,,,,,,,,,,,,,,,,,,,,
Jeweled Couscous,Mix well,Serve,Pour in the couscous in a thin stream and stir in lemon rind,Boil stock in a saucepan,"Drizzle over olive oil and stir in almonds, apricots, sultanas and parsley",Fry in deep fat as you would french fries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pizza Snacks,Add the eggs one at a time alternately with the milk stirring well so that each egg is incorporated before adding the next one until all the eggs and milk are used,Place fillet skin side down on a wire rack,Place cut side down on cookie sheet,"Place in frying pan and fry on medium hot to avoid burning 5-7 minutes (depending how thick they are cut) on one side until golden in color, turn over and repeat",Add soy sauce and one can of water chestnuts,"Starting on a short side, roll up dough, jelly roll fashion",Spray cookie sheet with non-stick spray,"With a sharp knife, cut into 16 slices",Press perforations to seal,"Grill kebabs over hot coals or under broiler until cooked through, turning once",Heat oven to 375.,"Stir in flour, then chips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagel Tuna Melt,Sift next 5 dry ingredients together in another bowl,repeat with other bagel halves,"Add green beans, potatoes, salt, pepper, chicken broth, thyme, parsley, and marjoram, stirring mixture thoroughly","Bake for 5 minutes, or until cheese melts",Add flour and then milk to consistency,"Note: if you like tuna melts real cheesy, use one slice of swiss AND one slice of mozzarella!","In a mixing bowl, combine tuna, onion, pepper, mayo and worcestershire","Grill 20 minutes or until cooked through, turning occasionally",Bake at 450 for 20 minute or until heated through,"On a bagel half, place one slice tomato, then one-quarter of tuna mixture, then 1 slice cheese",Preheat oven to 350F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuffed Pizza Bites,Bake at 350 degrees F,"Combine mayo, sugar, celery seed, vinegar, mustard, and salt",Cream butter,Press out each dough rectangle to form 12x8 rectangle,Wrap dough around filling completely,"Cook until lightly browned, about 6 minutes",Serve with warm pizza sauce,Press edges to seal and place seam side down with sides touching in pan,Spread thin layer of cream cheese over one side of steak,"Combine pears, water and lemon juice in a heavy bottomed 8-quart pan",Sprinkle with parmesan cheese,Combine oil and seasoning in a small bowl and drizzle over dough in pans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eggplant (Aubergine) Caponata,"Add capers, anchovies and herbs, and mix well","Note: the eggplant is usually cooked with the skin on it adds color to the dish, however if you find the skin to be particularly tough or stringy you can peel the eggplant and cook it skinned","In a shallow bowl, combine crumbs, Parmesan cheese, cornmeal, Italian seasoning, and seasoned salt","In a large saucepan, over medium-low heat, melt butter and saute onion, celery, carrots and mushroom slices until veggies are tender",Bake at 350* for 30 minutes,"Add tomato puree and green olives and cook until you have a thick, brown sweet-and-sour sauce",It will be sour and fermented when you uncover it,Add wings and stir,",","Using a sharp knife, remove and discard rib portion from breast halves",Sauté peppers until soft,Brown the eggplant in the oil in small batches,Also excellent served hot on top of pasta or chilled and served as a salad,Add brown sugar and vinegar and cook 2 minutes more,Pour sauce over eggplant and peppers and toss to coat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chappatis (Roti),"Ladle into soup bowls, top with cheese and chips",Add the asparagus and mushrooms and cook for 1 minute,Drop by teaspoonful on ungreased cookie sheet,"Roll each one out to about 6-8 inch diamete, flouring counter/board as needed",Now it should almost look like a long tube,Add the rest of the oil (the dough will look very oily and that's the way it should be),Now you should have a little bundle of dough,Take one end of that tube and fold it in to the centre and gently press it inches,"When all the flour is kneaded into a ball, poke lots of holes into the ball of dough",Toss potatoes with oil and add to skillet on med heat,"*If using frozen corn, let thaw and drain before adding",Take out the risen dough and break into four pieces,"To thicken sauce, place in small saucepan, add a cornstarch slurry, and bring to a boil","In a large fry pan, at medium hot heat, sear on all sides, set aside, in roaster",Divide the dough into about 15-20 balls depending on how big you want the chappatis to be,Take the other end of the tube and fold it over the seam,toss to coat,Brush with melted butter,Roll the ball in a little bit of flour so it's not sticky,Serve hot,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Brown Ragout Soup,Remove from pans,"Add the rest of the broth and push through a sieve, or use immersion blender to make a thick broth","Add 3 cups of the broth, stirring to avoid any lumps",Press firmly so it is solidly in place,"Add the seasonings, the wine, meatballs and mushrooms","Brown pork chops until nearly done, turning as required",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Dumplings II,"(4 slices of bread, diced and toasted in butter provide enough croutons",Place mushroom caps in a sprayed or buttered baking pan stem side up,Transfer to serving dish and add cheese,Add the eggs and beat until smooth- 2 minutes,On day one cook and rice potatoes and put in the refrigerator,Mold potato mixture firmly into small balls with croutons as center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Tomatoes,Set aside until milk is absorbed,Cut tomatoes in half horizontally,dot with butter,Cover and chill for 2 hours before serving,"Brown the beef, stirring frequently (this will take about 5 minutes)","Sprinkle with salt, pepper, onion, herbs, toasted bread crumbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Baked Chicken,Melt butter in medium pan,Drizzle all with the lemon juice,"Cook stirring occasionally for 8-10 minutes or until the liquid evaporates, and onions caramelise",Sprinkle salt and paprika on the breasts,"Place chicken breasts in ungreased baking pan, 9 X 9 X 2.",Bake uncovered 35- 45 minutes or until tender,Bake at 400 degrees for 20 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmesan Pork Chops,Place on a well greased or foil lined shallow baking pan,When the meat is lightly browned drain the pan,1 hour or until cooked,",",Crush cornflakes to 1/2 cup,Program timer if used,Bake at 350/F for approx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
