Name,step-1,step-2,step-3,step-4,step-5,step-6,step-7,step-8,step-9,step-10,step-11,step-12,step-13,step-14,step-15,step-16,step-17,step-18,step-19,step-20,step-21,step-22,step-23,step-24,step-25,step-26,step-27,step-28,step-29,step-30,step-31,step-32,step-33,step-34,step-35,step-36,step-37,step-38,step-39,step-40,step-41,step-42,step-43,step-44,step-45
Boursin Cheese Potatoes,Cover with half the cream mixture,Sprinkle top with chives or parsley,Repeat,Cover and bake at 350°F for one hour,Slowly heat cream and cheese together until thoroughly melted,In a deep casserole dish layer half the potatoes,Slice potatoes into quarter inch rounds and toss with salt and pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moroccan Tomato and Capsicum Salad,Roast under a grill (broiler) or in a very hot oven until the skin blackens and blisters,Chop the capsicum coarsely,"Peel and seed, then chop coarsely","Combine the capsicum and tomatoes in a bowl, add the combined remaining ingredients and mix well","Quarter the capsicums, and remove the saeeds and membranes","Drop the tomatoes into boiling water, count to ten, then drain and refresh in cold water",Peel,Place in a paper or plastic bag for about 10 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basmati-Sun-Dried Tomato Rice Pilaf,Add shallots,bring to a boil,top with cheese,"Add tomatoes, salt, pepper and stock",Cover,sauté 1 to 2 minutes or until soft,"cook 1 minute, stirring constantly",Heat oil in medium saucepan over medium heat until hot,Add rice,Reduce heat to low,Place in serving bowl,mix well,simmer 15 minutes or until liquid is absorbed and rice is tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baked Corn and Tomatoes,",",",",",",",","Mix corn, tomatoes, sugar, salt and pepper in an 8\",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr Currys Potato Curry,"Heat oil and cook onions, stirring, for about 4 minutes",Add 1-4 teaspoons MrCurrys,Serve,I used 3 and it was tasty and pleasantly spicy but not at all uncomfortable),Also add garlic& ginger and stir mixture for about 30 seconds,"Add tomato, salt as needed (I added 1/2 teaspoon) and cook& stir for 5 minutes",com Instant Curry Seasoning Powder (depending on how spicy you want it,"Add cooked, drained potato pieces and gently stir for another 4 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Curry Salad,Mix together all ingredients except lettuce leaves,Chill 2 hours,Serve on lettuce leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Collard Greens,Add salt and pepper to taste and the vinegar,Cut the bacon into bite size pieces and fry in a large stock pot,"Pull the tender leaves away from the stems, discarding the stems","Add the collard greens (the pot will seems overflowing, but they wilt) and stir until wilted (cover them every couple of minutes for a couple of minutes to help wilt them)",Do not drain,Put greens through several sinks of cold water to get rid of any grit,Serve hot,Add the onion and cook til tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall-Off-The-Bone Beef Roast,Add more water if needed,Pour water in pan,Place onions around roast,"Bake tightly covered, at 350* for about 3-1/2 hours until roast is almost tender",Combine next 6 ingredients,Baste roast and vegetables with juices,"bake for 1-1/2 hour more, until vegetables are tender",Place roast in large roaster pan,Add carrots and potatoes,sprinkle over roast,Thicken with flour and water mix if desired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quick and Easy Seasoned Black Beans,"Reduce heat and simmer for 20-25 minutes, to allow flavors to blend",Add contents of cans of black beans and bring to a boil,Add chopped cilantro and lime juice and stir,In sauté pan heat garlic in oil on medium heat,Add onion and jalapeño as oil begins to warm,"Add oregano and cumin and sauté, stirring frequently, until vegetables are tender, adding a few drops of water if they begin to stick",Serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash Chowder,"In a large saucepan, combine squash and milk mixture and cook on low heat until soup thickens","Cook on medium heat until soup simmers, then reduce to low and cook 5 minutes",Stir in chives and serve,"Add corn, peas, bullion, cayenne and butter","In a small bowl,combine cornstarch and milk until smooth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Low-Fat Oven Fried Catfish,"Add some Essence to this also, if you wish",Dip in coating,"Dip fish in egg substitute, then again in fish coating, and place on baking sheet","Sprinkle with Essence, salt and pepper on both side of fish",Serve,"also some salt and pepper, if you prefer",Preheat oven to 450°F,Squeeze lemon wedges over fish,"Bake at 450°F for approximately 10-15 minutes, until bottom of fish starts to brown","Turn fish, and bake about 5-8 minutes more, until fish is browned and crisp",Heavily spray a large non-stick baking pan with non-stick cooking spray,Place fish coating on a large plate,Pour egg substitute in large shallow bowl,Rinse fish fillets,Sprinkle with some Emeril's essence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanut Butter Corn Chowder,Reheat just until hot not allowing to come to a boil,"Reduce heat and simmer for 10 minutes, stirring occasionally",Remove from heat and add peanut butter stirring until melted,Stir in broth and corn,Remove from heat and stir in cream,Bring to a boil stirring frequently,Saute onion and celery in butter till tender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli Salad,Put cooking oil in a skillet,Steam in a microwave for four minutes,Refrigerate for 3 hours or more to chill and develop the flavors,Dump immediately into icy cold water to stop the cooking process,It should be crispy-tender and bright green,"Cut off the broccoli heads, and separate into small florets",Nuke for 1 minute at a time for 1 or 2 minutes more if required,Make up the dressing,Chop bacon into tiny cubes and sauté on medium heat until crispy,Remove into a colander and set aside to drain,"Drain and spread onto a paper towel to blot more grease (You may fry bacon whole if you wish, drain, cool and then crumble fine)","Place broccoli in a bowl, pour dressing over it and mix lightly",This salad will keep well in the refrigerator for three days,Bite a piece,"Add the chopped onion, crumbled bacon and raisins to the dressing and mix well","If you have a salad strainer, spin broccoli to remove more water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broccoli With Orange &amp; Yogurt,Serve over the hot broccoli,Gradually stir in the remaining ingredients (except the broccoli),Melt the margarine and blend in the flour until smooth,Cook over low heat until the mixture thickens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandma's Chicken Noodle Soup,Bring to a boil and cook for 3 minutes,"While chicken is cooking, cook the noodles in a large pot as per package directions",Stir in parsley,Drain and add to soup,Add the chicken and cook for 8-10 minutes or until tender,"In a medium sized pot combine stock, veggies and spices except parsley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parslied New Potatoes,"Drop potatoes in boiling water, bring back to the boil",Drain well,"In medium pot, bring 2 qts water and 1 t salt to a boil",Cut a ring around the middle of each potato,"Reduce heat to simmer and cook until potatoes are tender, about 10 minutes, depending on size of potatoes",Add butter and parsley,Toss to coat well,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cod With Oregano,Use cooking spray to coat a baking sheet large enough to hold the fish in a single layer,Serve immediately,Brush fish with the dressing,"In a small bowl, mix together the orange juice, lemon juice, oregano, salt and olive oil",Lay the fillets on the baking sheet without crowding them,Preheat oven to 450 degrees,"Roast the cod for 10 minutes, or until the thickest part of the largest fillet flakes easily with a fork",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macaroni and Cheese #4,389",Add cheeses and mustard and cook until thick,"Pour sauce over macaroni,stir, heat and serve",Freeze any leftovers,Cook until it starts to thicken,Melt butter in heavy bottomed 2 quart sauce pan,"Add flour,S& P, whisk in and cook until bubbly",Slowly whisk in milk,"Cook macaroni, rinse and drain","When thawed, reheat adding extra liquid (water or milk) until it is the consistancy you like",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hard Rock Cafe Baked Potato Soup,Simmer for 10 minutes,"Reduce heat to simmer and add potatoes, cream, chopped bacon, parsley, garlic, basil, salt substitute, red pepper sauce and black pepper","cook for 3-5 minutes, until mixture just begins to turn golden","Sauté the onions in the reserved bacon drippings over medium high heat until transparent, about 3 minutes",DO NOT allow to boil,"Add flour, stirring to prevent lumps","Garnish each serving as desired with chopped bacon, grated cheese and chopped parsley","Add grated cheese and green onions, heat until cheese melts smoothly","Add chicken stock gradually, whisking to prevent lumps until liquid thickens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Marinated Lamb,"(Save the bone and trimmings for stock, it makes a really awesome sauce)","The straight dressing tends to be a bit sweet for some folks, so cut it with dry red wine and olive oil if desired","This will yield 2 or 3 large chunks and 2-3 small ones depending on how clean you get the lamb,how large your leg is and if you bought the whole leg or just a section","Marinate in dressing for at-least 4 hours, but preferably overnight",Grill or broil lamb on skewers until desired degree of doneness is reached,"You can add some blanched onion, mushroom and tomato to the skewers if desired",Bone and clean all membrane and fat from lamb,Serve with rice and sumac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palak Paneer (Indian Fresh Spinach With Paneer Cheese),"Add cooked spinach with liquid, cover and simmer on low heat for approximately 20-30 minutes",Add paneer cubes,Cook this briefly and slowly blend in yogurt a little at a time to prevent curdling,"Take half of spinach mixture and puree in food processor or blender, and return to mixture and stir","Slowly stir in heavy cream, and heat through on low heat","Then add garlic and chopped tomatoes, and reduce heat",Remove from heat,"Add coriander, garam masala, paprika, and salt, mixing well",Cut spinach into shreds and cook in 3 tablespoons water until tender,remove from heat,"Saute onion, cinnamon, cardamom, and ginger in 1-2 tablespoons ghee or oil until onion is translucent",Serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Smothered Beef/Moose/Venison,Place in 350 F oven for 3 1/2 hour covered or follow crock pot instructions for roast of this size,Heat dutch oven or other large covered baking dish,Serve w/ baked potatoes and green peas,Sprinkle with onion soup mix and onion slices,"Dredge roast in flour, salt and pepper",Add water enough to cover roast,"On the stovetop, brown roast in margarine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby's Favorite Prune Cake,",",",",",",",",",",Preheat oven to 325 degrees,",",",",",",Grease 13x9x2\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chickpea Curry (Garbanzos),"Add tomatoes and cook for 5 minutes, stirring gently",Add chickpeas and salt and a tablespoon or so of water,Serve with flatbread and rice,Saute onions in olive oil for 3 minutes,Add another spoonful of water if it seems dry or if it's burning or sticking,Cook and stir about a minute,"Add ginger, garlic and curry powder (I use about 3 teaspoon for medium-spicy), stir and cook for another minute or so",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No-Fat Gravy,Adjust seasonings to taste,"If gravy gets too thick, add small amounts of water","In a large frying pan, add broth, mushrooms and liquid and bring to boil",This gravy is excellent with roasts or chicken,Use additional instant potato flakes if gravy is too thin,"While still at boil, add potato flakes stirring constantly until gravy thickens to a desired consistency","If you desire a brown color, add a few drops of (Bovril, beef concentrate)","Add pepper, garlic powder, chicken soup base, soy sauce and Worcestershire sauce, stir to blend",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scallop Saute,"Add parsley, red pepper flakes, and lemon, heat through",Add scallops,Heat butter in 12in skillet,"Add onion, garlic, salt and pepper",Stir and saute 1 minute,"Stir and saute 4-6 minutes, until scallops are opaque",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Chicken Dip,"Cook over medium heat, stirring frequently, until blended and heated thoroughly",Serve dip hot with chips,Mix together all ingredients in a 1-quart saucepan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celery Casserole,"Combine with water chestnuts and soup, pour into a greased 1 1/2 quart casserole",Cook celery in salted boiling water for 7 minutes and drain,Sprinkle over celery mixture and bake for 30 minutes,Preheat oven to 350°F,"In a sauté pan, melt butter, add cracker crumbs and almonds and stir until well mixed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugared Asparagus,Pour sauce over warmed asparagus and serve immediately,cover and simmer for 8-10 minutes or until asparagus is crisp-tender,"In a skillet over medium-high heat, melt butter and brown sugar until sugar is dissolved",Stir in chicken broth,Reduce heat,bring to a boil,"Cook sauce, uncovered, until reduced by half",Remove asparagus to a serving dish and keep warm,saute for 2 minutes,Add asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken and Mango Curry,add chicken and cook for 10 to 15 minutes,"Add curry paste and garlic and cook, stirring, for about 30 seconds","Add ginger, onion, and peppers",Garnish with cilantro,Remove and discard garlic,In a deep frying pan or wok heat oil over medium heat until hot,"Add mango, straw mushrooms, fish sauce, and sugar",Slowly stir in coconut milk and chicken broth,"When heated through, serve over individual plates of hot rice","cook until tender, about 7 minutes",Reduce heat to simmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottage Cheese Seafood Lasagna,Spread 1/4 of the cheese sauce (about 1 c,"Top with crabmeat, shrimp, 1/4 of cheese sauce, remaining noodles and cheese sauce","Repeat with 1/4 of cheese sauce, then 3 or 4 noodles",Heat margarine in 3-quart saucepan over low heat until melted,) in 13x9-inch baking dish,Top with 3 or 4 uncooked noodles,"Stir in milk and broth and heat to boiling, stirring constantly, 1 minute",Let stand 10 minutes before serving,"Stir in mozzarella, onions, basil, and oregano",add garlic,"cook, stirring constantly until bubbly","Stir in flour, salt, and pepper",Spread cottage cheese over noodles,"Cook over low heat, stirring constantly, until cheese is melted",Sprinkle with parmesan cheese,"Bake, uncovered, in 350 degree oven until noodles are done, 35-40 minutes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoked Sausage Jambalaya,cook until beef is browned,"Add tomatoes, salt, pepper, and sausage",Add rice and water to meat-vegetable mixture,Cook sausage in Dutch oven until browned,"Combine ground beef, green pepper, onion and garlic",Cover and cook 25 minutes or until the rice is tender,simmer 20 minutes,Cover,remove from skillet and discard drippings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thit Bo Cuon La Luop (Vietnamese Beef in Grape Leaves),"Mix beef with garlic, 2 tsp nuoc mam, ginger root, cilantro, 1/2 tsp sugar, dash black pepper, and green onion",drain,Stir in 3 tbsp shredded ginger and 2 tbsp shredded carrots to the sauce,",",Rinse grape leaves in hot water,"Place generous tablespoonful on grape leaf, and roll envelope-style","Place on skewers and grill (If using wooden skewers, soak in water for 20-30 minutes before using), or broil, 6\","For sauce, mix together 4 tbsp fish sauce, 1/2 cup water, 2 tbsp vinegar, 2 tsp sugar, the red pepper, and the 2 cloves of minced garlic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refrigerator Rolls,Generously oil a large bowl and place dough in it,Cut the three pieces into 24 equal pieces,You have 72 pieces of dough,Add yeast mixture,You may make several styles of rolls with this,"When ready to use, punch dough down",Cover w/ lid or heavy plate,Add sugar and salt,Turn out on floured board and knead until the dough is pliable,Add two c,flour and mix well,"In a large bowl, add hot water and shortening",Cloverleaf rolls: Cut dough halve into three equal pieces,Add beaten eggs,Let cool until tepid,Stir and continue adding flour until a soft dough is formed,Let set until shortening melts,Refrigerate overnight or for several hours,Dissolve yeast in 1/2 cup of warm water and set aside for 15 minutes or so,Turn out on floured board and halve dough,Turn dough in bowl until coated w/ oil,,,,,,,,,,,,,,,,,,,,,,,,
Stuffed Baked Potatoes,"Place in baking dish and bake for 30 minutes, until heated through",Sprinkle with paprika,Place back in potato skins,Cut potatoes in half lengthwise and scoop out the pulp,Scrub potatoes and wrap in foil,Cool,"Mash the potato pulp with butter,salt, pepper, and cream cheese",Reduce oven temperature to 350°,"Bake for 1-1/2 hour, until tender",Heat oven to 400°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhubarb Coffee Cake,Cream butter and sugar together in mixing bowl,Stir in sour cream and vanilla,Mix flour and baking soda together and fold into batter,Bake 30-40 minutes until done,Preheat oven to 350°F,Beat in eggs one at a time,Topping: Mix all ingredients together until crumbly,Stir in rhubarb,Turn into greased 9x13-inch pan,Sprinkle over top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef Enchiladas,"Wrap, place seam side down in 13x9 baking pan",Saute onion and green pepper in hot oil until tender,Sprinkle with cheese and bake 7 more minutes,Pour over tortillas,"Add next 6 ingredients, mix well",Put 1/3 cup filling down middle of each tortilla,"Add next 4 ingredients, mix well","Brown ground beef, drain",Cover and bake 30 minutes,For Sauce: Heat oven to 350 degrees F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Hot Dogs,Microwave for 2 minutes or place in preheated 350°F oven for about 10 minutes,Sprinkle with cheese and roll up the tortilla,Spread the heated beans on a warm tortilla,Serve with the salsa of your choice,Place a frankfurter on top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Million Dollar Potatoes,"Carefully scoop out pulp, leaving shells intact","Wash potatoes, and rub with oil",Mash pulp,Bake at 400 degrees for 1 hour or until done,Stuff shells with potato mixture and sprinkle with remaining cheese,Bake potatoes at 350 degrees for 20 minutes,"stir in butter, 1 1/2 cups Cheddar cheese, sour cream, milk, parsley, salt, and pepper",Cut potatoes in half lengthwise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Noodle Beef Casserole,"Add the onions, sauerkraut, paprika and 1/4 cup water",about 3 minutes,"In a Dutch oven brown the steak pieces in the oil, remove when browned",Cook& stir until the onions are tender,"Stir in the broth, 1/2 cup water, tomatoe paste, caraway seeds, chili,and noodles Bring to a boil, reduce heat to medium, cover tightly& simmer for about 10 minutes or until the noodles are cooked Remove from heat: return beef to the Dutch Oven, stir, cover and let stand for a couple of minutes Sprinkle with parslery& serve",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outback Steakhouse Bushman Bread,Preheat the oven to 350° degrees F,Make a depression or\,",","Sprinkle the entire surface of the loaves with cornmeal and place them on a cookie sheet, or two",Uncover the dough and bake it for 20-24 minutes in the hot oven,"When the dough has risen to about double in size, punch it down and divide it into 8 even portions","Combine the flours, cocoa, sugar, coffee and salt in large bowl","Set the dough into a covered bowl in a warm place for an hour, to allow it to rise","Slowly mix the ingredients with a spoon, drawing the dry ingredients into the wet","then add the butter, honey and yeast",Loaves should begin to darken slightly on top when done,Cover the cookie sheet (s) with plastic wrap and let the dough rise once more for another hour in a warm location,Pour the warm water into this\,Serve warm with a sharp bread knife and butter on the side,in the middle of the dry mixture,wide,"When you can handle the dough, begin to combine it by hand, kneading the dough thoroughly for at least ten minutes, until it is very smooth and has a consistent color",Form the portions into tubular shaped loaves about 8\,"If you want whipped butter, like you get at the restaurant, just use an electric mixer on high speed to whip some butter until it's fluffy",Combine the food coloring drops with ¼ cup of water and add that to the\,,,,,,,,,,,,,,,,,,,,,,,,,
Whole Wheat Biscuits,Roll 1/4 inch thick,(These make great dumplings),"Cut into 12, 2 inch round biscuits or into wedges or squares",Turn out onto a floured board,"For herb biscuits, add basil, thyme and parsley to dry ingredients",Bake in a 425°F oven 12 to 15 minutes until lightly browned,Cut in margarine with a pastry blender or 2 knives,Place on a lightly greased baking sheet,"Add milk, mix quickly","Combine flours, baking powder and salt in a bowl",Knead 6 to 8 times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Enchilada Ring,(Filling will not be completely covered,Slice lime in half,Separate dough into triangles,"Add cheese, green chilies, mayonnaise, and seasoning mix",cut in half,"For garnish, cut remaining tomato into 8 wedges",Arrange between openings of ring,"Arrange triangles, chip side down, in a circle on round baking stone (or round pizza baking sheet) with wide ends overlapping in the center and points towards outside",Add chopped tomato and lime juice to chicken mixture,place in mixing bowl,(There should be a 5-inch diameter opening in center,) Bake 20-25 minutes or until golden,"Using Juicer, juice one half of lime to measure 1 teaspoon juice",Seed and chop 1 tomato,Cut remaining half of lime into 4 slices,Reserve 2 tablespoons crushed chips,Unroll crescent dough,Chop chicken and olives using Food Chopper,Preheat oven to 375F,Reserve remaining lime for garnish,Bring points of triangles up over filling and tuck under wide ends of dough at center of ring,Sprinkle reserved crushed chips over cutting board,"Place dough, sticky-side down, onto crushed chips",) Scoop chicken mixture evenly onto the wide ends of each triangle,"press down lightly, so chips adhere to dough",add remaining chips to chicken mixture and mix well,,,,,,,,,,,,,,,,,,,
Southwestern Omelet,Repeat procedure with remaining ingredients,"Mix together eggs, water, and salt",Serve with taco sauce,"When egg mixture is set and no longer flows freely, sprinkle 1/4 cup cheese over half of omelet","For each omelet, melt 1 T, butter in a heavy skillet until hot enough to sizzle",Stir in chiles and onion,"Fold omelet in half, and place on a warm platter","As mixture begins to cook, lift edges of omelet and tilt pan to allow uncooked portion to flow underneath",Pour in one-fourth of egg mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh 'n' Tasty Macaroni Salad,Chill before serving,Combine all ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Buns,Roll dough over to grease top,"In a large mixing bowl, combine lukewarm milk mix and eggs",With wooden spoon add remaining flour,"Roll up and slice (a good way to slice pieces is to use a piece of string, place it on the underside of the roll and cross over opposite ends at top, cutting the piece)",Place greased waxed paper over slices and allow to double in size again for one hour,Add four to five cups of flour and mix well,"Divide into two, roll each section into rectangles",Sprinkle yeast over water mix,Grease cookie tray with melted butter,Punch down and turn out onto floured surface,Place dough in a well greased bowl,Stir once this is done,"Place slices in tray, leaving enough space to allow them to expand, but not enough that the filling melts out",Let stand in a warm place for 10 minutes,Cover with a damp cloth and allow to double in size for one hour,Cool to lukewarm,"Sprinkle on filling (filling: 1 cup melted butter, 1 1/4 cup sugar and 2 tbsp cinnamon- divided between two rectangles)","Scald milk and stir in 6 tbsp butter, 6 tbsp sugar and salt",Dissolve 1 tsp sugar in warm water,Stir in yeast mix,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Pepper Relish,"Ladle into 7 pint jars, pressing down as you pack so liquid covers vegs",Let stand 10 minutes,Add vinegar and sugar to vegs,Add salt,"Bring to boil, simmer 20 minutes",Process in boiling water bath 15 minutes,Drain and discard liquid,Start to count processing time when water in canner returns to boiling,"Wipe jar rim, adjust lids",Remove jars,"Put peppers and onions through food chopper, or chop in water in blender and drain",cover with boiling water,Place in 6 quart kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet and Sour Chicken,Bring mixture to a boil,Fry chicken until lightly browned,Mix together first 6 ingredients,Add 2 T,Serve over rice,Stir green pepper and chicken into sauce,Combine pineapple juice mixture and next 4 ingredients in a medium saucepan,Removed chicken,cook until thoroughly heated,coat well,Add chicken,"cornstarch, mixing well","Drain pineapple, reserving liquid",Heat oil in electric skillet to 375 degrees,drain,Add enough water to juice to make 1 cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chivey Saffron Rice,"Cover and simmer until all liquid is absorbed, about 35 minutes","Add onion and saute until golden brown, about 5 minutes",Add stock and bring to a boil,Mix in rice and saffron,Reduce heat to low,Season with salt and pepper to taste,Mix in chives and serve,Melt butter with oil in heavy large saucepan over medium-high heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fourth of July Burgers,**Adjust seasonings to taste,**We also toast the buns on the grill,Serve in hamburger buns,Mix together first 9 ingredients,Shape into 8 patties,"Broil or grill 4-5 inches from heat 5 minutes on each side, or until desired degree of doneness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Asparagus And Ham,"In large skillet, melt butter, stir in flour, cook 1 minute",Remove from heat,Cover with the cheese sauce,Bake at 375* for 20 minutes,Put 3 pieces asparagus on each ham slice,"Slowly stir in milk, cook until bubbly",Roll up and place in 13x9 baking pan,Sprinkle with crumbs,"Add cheese, salt and pepper, mix well",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twice Baked Potatoes,Sprinkle tops with cheeses (and bacon if used),"Mash with milk, green onions, s&p, and butter",Stuff shells with mashed potato,Pierce skin with a fork once or twice,Bake at 350°F 1 hour or until tender,Place on a baking sheet and bake at 350° for 15 minutes or until cheese is melted,Cut baked potatoes in half and scoop out within 1/4 inch of edge,Let potatoes cool slightly,Serve with sour cream,Clean and scrub baking potatoes,Preheat oven to 350°F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zucchini ""Pasta"" with Fresh Tomato Sauce",Serve immediately,"(Use a veggie slicer or I find a veggie peeler is best, in long single swipes",Remove to paper towel lined baking sheet and keep warm in low oven,"In saucepan, heat 1 tablespoon of the oil over medium heat",") In a large frypan, heat 1 tablespoon of the remaining oil over high heat","Repeat with remaining oil, zucchini, garlic and cayenne",Arrange zucchini mixture on warmed serving platter,Remove bay leaf,"Add half of the zucchini strips and half of the garlic, sprinkle with a pinch of cayenne, cook, stirring almost constantly for about 3 minutes or until zucchini is tender and golden, being careful not to break it","Meanwhile, slice unpeeled zucchini lengthwise into long wide strips about 1/8 inch thick","Add tomatoes, thyme, bay leaf, sugar, salt and pepper, cook, uncovered, for 7 to 10 minutes or until excess moisture has evaporated",Pour sauce over and sprinkle with parmesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tender Sauteed Zucchini,"Stirring often, cook over low heat 5 to 10 minutes or until zucchini is crisp-tender",Saute onion in hot oil until tender,Sprinkle with cheese,"Add mushrooms, zucchini, salt, pepper, and thyme",Serve immediately,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican Rice,Bake an additional 5 minutes,Bake uncovered at 325 degrees for 20 minutes,Mix together first 8 ingredients,Top with cheese,Spoon mixture into a greased 1 1/2 quart baking dish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tender Crock Pot Turkey Breast,Cook 8-10 hours in crock pot on low,Make gravy with juices if desired,Pour chicken broth over turkey,Rinse turkey breast and pat dry with paper towels,Place in crock pot breast side down,"Two hours into cooking time, mix other ingredients and pour over turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Beef-Stuffed Pasta Shells,Stir in next 6 ingredients,"Stuff macaroni shells with beef mixture, and place in baking dish",set aside remaining sauce,Set aside,Drain excess fat,Combine spaghetti sauce and wine,drain and set aside,Prepare macaroni shells according to package directions,Spoon one-fourth of sauce into a lightly greased oblong baking pan,"Bake, uncovered, at 400 degrees for 20 minutes",Spoon remaining sauce over shells,"Cook ground beef, onion, and garlic in a large skillet until beef is browned",Sprinkle Parmesan cheese over shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treacle Scones,Store at room temperature in an airtight container,"Place on the baking sheet, brush with a little milk and bake for 10-15 minutes until golden in coIour",Heat oven to 425°F or Gas Mark 7 and grease a baking sheet,Cool on a wire rack,Sift the flour and salt into a bowl and rub in the butter,"Roll out to about ½-inch thick, and cut into rounds with a 2½-inch pastry cutter",Turn on to a floured surface and knead gently- the dough should be fairly moist and elastic,Add the treacle or molasses and sufficient milk to make soft dough,Mix in the sugar and cinnamon,Serve split in half and buttered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheesy Bacon Burgers,Cover and simmer 10-15 minutes,Add ground beef to skillet and brown,Fry bacon in large skillet,crumble and set aside,Drain off all bacon drippings,"To serve, spoon over split hamburger buns",drain off fat,"Sir in bacon, onion, catsup, mushrooms, salt and pepper","Sprinkle cheese over top, and heat until cheese melts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open-Faced Egg Salad Sandwiches,Spread butter on each muffin half,toast,broil 3 minutes or until cheese melts,Combine all ingredients except butter and muffins,egg mixture on each muffin half,Spread about 2 T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
